Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,content,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
0,《东岳论丛》2022年第10期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484813&idx=1&sn=85584ed1b0c1875f8942ccc5cc353745&chksm=eba4ac9ddcd3258b6eb699299066e6523e83b3ffbfd4c6eec37c40264aefeaaed65ae720b352#rd,1,2022-10-27,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,轴心文明与齐鲁文化的多重意蕴,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484804&idx=1&sn=5f7aa95c453b008986b9d18a17240f1a&chksm=eba4ac94dcd325826da51306e450e51ad7c2484e70bb4bfa45026c0e0a9e9b900f0e0680e61f#rd,1,2022-10-18,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,当代社会价值观的选择与建构,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484795&idx=1&sn=73d841dd2d14388c38485239a18bf14e&chksm=eba4ac6bdcd3257d0016cae2e768b46c4ca5bd48aa13a61991016afbd9280f453f6ab28c1ae4#rd,1,2022-10-10,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,数字贸易的规范考察及中国方案,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484794&idx=1&sn=fb0befaaebdb15895cfbcc672536c8f2&chksm=eba4ac6adcd3257c6f72a2e7971eabac1def11e74989562724a157ed60333c0fbf611309bb69#rd,1,2022-10-9,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,大数据提升国家治理决策水平的逻辑探析,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484793&idx=1&sn=8ddd6d1e7eb0efeb052dea5c26a53371&chksm=eba4ac69dcd3257f94cb362b7ed0b94e0acfcf02198bde51a544bc31de497c1e32ef4974b51e#rd,1,2022-10-8,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,《东岳论丛》2022年第9期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484764&idx=1&sn=ff2639564a17b60bd7fcd5c44da94c09&chksm=eba4ac4cdcd3255a3cec9ab45ca2868bab02b24e7633ebb40fb9aa12a48812c02085c7dd6c74#rd,1,2022-9-29,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
6,《东岳论丛》2022年第8期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484755&idx=1&sn=5c6c9c9c752396856d0eaf5bf89209f9&chksm=eba4ac43dcd3255569212dcc21b9d4327a8f644f4102afa79876da15eaac6a5a334c5c795df6#rd,1,2022-9-13,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,“五个必由之路”与“五个战略性的有利条件”的新时代意涵和内在逻辑,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484746&idx=1&sn=c6233e4491d4f3a589fa80b4ad1c7629&chksm=eba4ac5adcd3254c3cf11ff16702fd55562d49b4ddc9cb4cf561d8305ba6cb3dc6853267bd74#rd,1,,,,,,nan,nan,nan,nan,nan,nan,nan,nan
8,“五个必由之路”与“五个战略性的有利条件”的新时代意涵和内在逻辑,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484745&idx=1&sn=7f1d5cd6dbe261cde7dd49ff7078433e&chksm=eba4ac59dcd3254f485842465c77cf940efa9119a73dbf9ce6a89d403a5564abfe00f3ce10ff#rd,1,,,,,,nan,nan,nan,nan,nan,nan,nan,nan
9,马克思 :资本是一种社会生产关系 ——《雇佣劳动与资本》研究,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484741&idx=1&sn=f706c22d6dfdb206040b48c111fac63f&chksm=eba4ac55dcd3254329bb41b3d6dcac0715ac7a781f9ccd70c550a0298e249d577788035f6cb9#rd,1,2022-9-6,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
10,毛泽东人民美学建构的理论贡献和意义——纪念《在延安文艺座谈会上的讲话》发表 80 周年,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484740&idx=1&sn=82d052eb75a46855dc72cacdfc9c39c0&chksm=eba4ac54dcd325421f2ae34cb034a50c461aca5e01c0b4b920e491797569c557b9a97f17f7e6#rd,1,,,,,,nan,nan,nan,nan,nan,nan,nan,nan
11,《东岳论丛》2022年第7期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484727&idx=1&sn=104f7efd62d9c9180cefb022e03d1134&chksm=eba4ac27dcd325311abfd22740197e87f1ee13a8b2fb1cc2aca13d60086e043b27745085ef15#rd,1,2022-8-22,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
12,《民法典》立法目的条款之裁判检讨与功能定位,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484716&idx=1&sn=cce0b8c5ab908e817fdaca9c717e5eca&chksm=eba4ac3cdcd3252a5cebf641ee9360a56753a9ea648baf858683d648092db267bc8052990867#rd,1,2022-7-19,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
13,台网竞合视域下中国电视剧传播生态与策略探析,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484715&idx=1&sn=6eb142f5f544ecae063d1960da4f1b1e&chksm=eba4ac3bdcd3252d10643826593253eab901e239bc804f3d087b99d44230c7de2426b321ecf4#rd,1,2022-7-18,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
14,双循环视角下国内价值链体系演进与升级战略选择,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484700&idx=1&sn=a42a0cff344b2c88837890e868c28938&chksm=eba4ac0cdcd3251a11521ca561efe5edb2198ca2388356df7b4d5e18756346f5a1bb1e24a1f9#rd,1,2022-7-5,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
15,电子游戏对亲密关系的影响:行为感知、行为认知和个体依恋风格的作用,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484699&idx=1&sn=79cc0d7aac1111b551eaae29cce9e068&chksm=eba4ac0bdcd3251d33464409e4e85ba266ff17593a8fde7983bc56aae14020bd9fcf888202a6#rd,1,2022-7-4,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
16,中国哲学理论建构与21 世纪马克思主义,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484662&idx=1&sn=c665c1102fee885975346787fe7c5392&chksm=eba4ade6dcd324f06c7d59d7ec6f22b6fb60225d3c87d3eb32e9ef41eb3f5b2508c1885a7693#rd,1,,,,,,nan,nan,nan,nan,nan,nan,nan,nan
17,鲁迅抄校《法显传》与其学术研究和思想发展之关系,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484661&idx=1&sn=779414b89d98aa807d95fc6a13246330&chksm=eba4ade5dcd324f30d4450d7f178aceb38e321687829ff35a41bfd18e81c51fb94aa4b0cb79e#rd,1,2022-6-30,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
18,《东岳论丛》2022年第6期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484601&idx=1&sn=c8caf947e0c098fdec121a123e8feaaa&chksm=eba4ada9dcd324bf72446c694765b88f9986d259183ded702749bfabb603e6976e9007d20802#rd,1,2022-6-23,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
19,《东岳论丛》2022年第5期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484590&idx=1&sn=620534cc192d564d378a8e05027e4f01&chksm=eba4adbedcd324a85ea55da0b6fb6d23c1be6b38081e29dbc1d0b1fd44445d3700592e3945d8#rd,1,2022-6-1,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
20,工具性治理能力:乡村建设中的社区组织与精英参与,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484575&idx=1&sn=d549584d6849d771dffa4d9e5f21bece&chksm=eba4ad8fdcd3249956d1ed058d71742a101596059f019a131c00900b0b40d46b049d765986a0#rd,1,2022-5-31,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
21,中国电影地缘文化研究的方法论问题,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484574&idx=1&sn=770cb19b2d40cd7db4087f9f117b0100&chksm=eba4ad8edcd32498c397a3ce43309c5bf8144cf8fad266625493944357eca9898d337b117b61#rd,1,2022-5-30,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
22,《东岳论丛》2022年第4期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484561&idx=1&sn=f9d8bb8895d3a50683850566bb32091f&chksm=eba4ad81dcd324979b5975e9b8ee5b66de32a608cd8dcb676ae28321da4ba56b27c80137bc0b#rd,1,2022-5-10,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
23,《东岳论丛》2022年第3期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484551&idx=1&sn=8a9426549a84f42a3b0763317d6fc90b&chksm=eba4ad97dcd324816a4973b3cf99a5f907383e717fa4941be386a21f7d5d26252f096949358d#rd,1,2022-4-25,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
24,巴赫金与“世界文学”,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484550&idx=1&sn=aea77b01a181d8f4720b7daf7ec561d8&chksm=eba4ad96dcd32480e3275306a173d92aff658a11760fe5fde4bc9e60e14ef3a2438a46901c02#rd,1,2022-4-24,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
25,《巴黎协定》下我国碳市场机制的发展桎梏与纾困路径,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484549&idx=1&sn=bd8c849737aa08bf010d5d96f033f46d&chksm=eba4ad95dcd3248379054f31ad5aa73ca7d3880cd5d4ff43c3c1786ea63ec9b8b861f526a066#rd,1,2022-4-22,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
26,《东岳论丛》2022年第2期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484529&idx=1&sn=57694f25a08846831efd3769ee78ab1c&chksm=eba4ad61dcd324779751d8dddda695223f9f079276ff60f4ff419f1bc7d8828c88fd13c50582#rd,1,2022-3-28,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
27,当代中国马克思主义的光辉文献——学习习近平总书记“ 七一” 重要讲话,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484508&idx=1&sn=125239700658a96a613e8811692c2d85&chksm=eba4ad4cdcd3245af6f7d51ef0eaa9af791ad398a2397e2931537d950750c1716070ce02d869#rd,1,2022-3-12,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
28,现代性问题域中的政治哲学,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484507&idx=1&sn=956998619cc5878eb314d8641ba0e997&chksm=eba4ad4bdcd3245d3f85dcbe90568e0d9dee8da7749cafd3a7c10a6ac04021c563129de6db21#rd,1,2022-3-11,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
29,《东岳论丛》2022年第1期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484483&idx=1&sn=ee6db98dbea2b21f509540229d7ee4f6&chksm=eba4ad53dcd324452a3f78af7e6bb5b3e581553f32907b7150e2cf73f055d0a2c01c861672d5#rd,1,2022-2-24,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
30,《东岳论丛》给您拜年！,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484471&idx=1&sn=a6cf787e8b5e7bd998731a7eb8501391&chksm=eba4ad27dcd32431e513f1d81bc7bf9a3a043ea5e3ebfa90c09506c7bc8c6ec29be356b4d430#rd,1,2022-1-31,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
31,《东岳论丛》给您拜年！,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484470&idx=1&sn=459cf3c0a58fd8cdae1ecf0718261392&chksm=eba4ad26dcd324309392d234d44aa7d82d52ea7027f7f4c983cbd4b40087527cd908d1729620#rd,1,2022-1-31,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
32,吴忠民：中国传统文明及演化逻辑研究述论,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484463&idx=1&sn=3b934f05c45f506937427433494f6085&chksm=eba4ad3fdcd32429334fa20a698c1a0242c76a3bd90bc1a1527981d3f30b890741daf320654a#rd,1,2022-1-20,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
33,曾繁仁：《唐诗:“ 生生论诗学” 的集中呈现》,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484426&idx=1&sn=363ec74a4e89641a96307ca5445411bb&chksm=eba4ad1adcd3240c9b395657c695262d11c2c701aa695c70253128f41f0f921c3c547d9d22ec#rd,1,2022-1-13,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
34,《东岳论丛》2021年1~12期总目录,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484338&idx=1&sn=cdac86ef9aebe9b1c73e4821ab95873e&chksm=eba4aaa2dcd323b424c068d4082747ed09a2fbd6960f83189faf76f271cf019b18445c4ee51b#rd,1,2021-12-17,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
35,《东岳论丛》2021年第12期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484337&idx=1&sn=4211580a9bd1414dbd5f06b5e13e5fa5&chksm=eba4aaa1dcd323b7c3553a63501e3e7d75fef20eaa34c9345a80536a6b72328da603dbd957a4#rd,1,2021-12-16,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
36,"迈克 · 费瑟斯通 著 ,刘宝 译：关于审美世界主义的思考",http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484315&idx=1&sn=67e96dd72642c44a2b732e1a1228eddd&chksm=eba4aa8bdcd3239d7f47590027b612cd9be41a9066b55314f540de55f9c7f5a6eb592375b822#rd,1,2021-12-7,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
37,谢红星：发现“ 法典化”传统的法理 : 价值 、进路与限度,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484314&idx=1&sn=2af1215877082531c15fd9545457dcc3&chksm=eba4aa8adcd3239c78b86f02f791ce5701dbca6156e0442d4cc6ad1b9c3a8e986a05542f2144#rd,1,2021-12-5,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
38,《东岳论丛》2021年第11期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484282&idx=1&sn=da9d20238a5e4d83a2a01fceb54e24cd&chksm=eba4aa6adcd3237cd49374dfa97646d7df7125b0707f9b8d5c20dcb41909ca910e480ac4ec61#rd,1,2021-11-16,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
39,仇雨临等：《中国共产党领导下的中国医保：发展道路与经验总结》,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484273&idx=1&sn=c86d16f7421eb7cf78544cb2008de281&chksm=eba4aa61dcd32377375297034d503ac66ea93073b937e52f20eb710b6d8b8ec5f9ba17e4b388#rd,1,2021-10-26,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
40,陈来：略论《论语》的传承与训解,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484259&idx=1&sn=8fca9a6816c87857a529cb8edc404b5f&chksm=eba4aa73dcd32365aaebac5ec9adb6790bc69ce15b3cd0705a8fb35b69d1397454fafc71aee6#rd,1,2021-10-21,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
41,《东岳论丛》2021年第10期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484245&idx=1&sn=f987e3770e9cd0eb7728d44fd862ba34&chksm=eba4aa45dcd3235336dd3050174a17d07e99db27e76515a479656971b4878743ec6d28c22eda#rd,1,2021-10-19,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
42,《东岳论丛》2021年第9期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484234&idx=1&sn=179e2ee7f14fb71e2ff1c7ca850dc7e2&chksm=eba4aa5adcd3234ce8e060a640c5bd9231cea7f191b56c722fa0821d64beda82491b4defd490#rd,1,2021-9-23,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
43,《东岳论丛》2021年第8期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484219&idx=1&sn=1df1419d46f27d6dde778763b471e846&chksm=eba4aa2bdcd3233dcaa970932f4d267bef6f156b50bd6a4c95e7c9c240608bb4fa83b414364a#rd,1,2021-9-7,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
44,《东岳论丛》2021年第7期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484209&idx=1&sn=57a8a8f55e5b8877c18b8e82296f5f88&chksm=eba4aa21dcd3233747c0f232c2523b51180858a8019a6769ede4a059ec55a2cb453e00829a3e#rd,1,2021-9-2,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
45,《东岳论丛》2021年第6期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484199&idx=1&sn=c03c2d8550e034f7c8c97a93ea731f89&chksm=eba4aa37dcd32321eb96a91557f2e9e4e9e3c55013df8958d75b549ea753158d2da8147a7634#rd,1,2021-7-6,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
46,《东岳论丛》2021年第5期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484189&idx=1&sn=105257e6b1e7ce443c66eeebb06fe5c9&chksm=eba4aa0ddcd3231b8db67267407014b1b200be34c1d88718dcb04bf946db986358e109988adb#rd,1,2021-7-1,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
47,《东岳论丛》2021年第4期,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484179&idx=1&sn=b3412dd52a1349947c55a46f972663d3&chksm=eba4aa03dcd32315ed280ac40bc1552d31d39c304f51f4f4e747805819dc483dfe5e527511ce#rd,1,2021-5-20,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
48,《东岳论丛》再次入选为CSSCI来源期刊,http://mp.weixin.qq.com/s?__biz=MzI4MTY1NzQ3MQ==&mid=2247484169&idx=1&sn=2c408a34936f168700c76ece8b8d8cb0&chksm=eba4aa19dcd3230fe5eb978d3aeaab01c2c5d6068e8109e12697d1c0a6454827554e10f9b4f2#rd,1,2021-5-11,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
